policy,instance_id,instance,seed,three_phase_pb_accepted,policy_pb_accepted,three_phase_rt_accepted,policy_rt_accepted,three_phase_total_accepted,policy_total_accepted,three_phase_objective,policy_objective,proactive_rejections,change_pb_accepted,change_rt_accepted,change_total_accepted,change_objective
buffer_20,rand-02_s2,rand-02,2,40,33,21,20,61,53,40119,48021,10,-7,-1,-8,7902
buffer_20,rand-02_s3,rand-02,3,38,40,19,29,57,69,43969,32079,3,2,10,12,-11890
buffer_20,rand-03_s1,rand-03,1,48,52,36,48,84,100,38538,22952,5,4,12,16,-15586
buffer_20,rand-03_s2,rand-03,2,43,46,26,25,69,71,52818,50938,2,3,-1,2,-1880
buffer_20,rand-03_s3,rand-03,3,49,47,26,33,75,80,47157,42180,8,-2,7,5,-4977
buffer_20,rand-04_s1,rand-04,1,21,20,14,14,35,34,26016,26994,1,-1,0,-1,978
buffer_20,rand-04_s2,rand-04,2,23,21,16,15,39,36,21993,24954,2,-2,-1,-3,2961
buffer_20,rand-04_s3,rand-04,3,24,24,14,14,38,38,22903,22903,0,0,0,0,0
buffer_20,rand-05_s1,rand-05,1,39,34,24,25,63,59,38235,42173,6,-5,1,-4,3938
buffer_20,rand-05_s2,rand-05,2,39,36,18,18,57,54,44072,47006,7,-3,0,-3,2934
buffer_20,rand-05_s3,rand-05,3,35,39,17,26,52,65,48906,36092,3,4,9,13,-12814
buffer_20,rand-06_s1,rand-06,1,38,38,28,28,66,66,15140,15140,0,0,0,0,0
buffer_20,rand-06_s2,rand-06,2,40,39,34,34,74,73,7375,8301,1,-1,0,-1,926
buffer_20,rand-06_s3,rand-06,3,40,39,33,34,73,73,8137,8123,1,-1,1,0,-14
buffer_20,rand-07_s1,rand-07,1,49,46,28,32,77,78,24749,23718,3,-3,4,1,-1031
buffer_20,rand-07_s2,rand-07,2,50,47,38,32,88,79,13824,22585,3,-3,-6,-9,8761
buffer_20,rand-07_s3,rand-07,3,49,48,34,34,83,82,18722,19640,1,-1,0,-1,918
buffer_20,rand-08_s1,rand-08,1,60,59,55,53,115,112,8616,11521,1,-1,-2,-3,2905
buffer_20,rand-08_s2,rand-08,2,60,60,53,52,113,112,10736,11621,0,0,-1,-1,885
buffer_20,rand-08_s3,rand-08,3,60,60,49,49,109,109,14468,14468,0,0,0,0,0
buffer_20,rand-09_s1,rand-09,1,27,27,22,21,49,48,12410,13385,0,0,-1,-1,975
buffer_20,rand-09_s2,rand-09,2,26,26,17,17,43,43,18187,18187,0,0,0,0,0
buffer_20,rand-09_s3,rand-09,3,26,27,18,22,44,49,17208,12234,1,1,4,5,-4974
buffer_20,rand-10_s1,rand-10,1,48,48,30,35,78,83,23828,18723,2,0,5,5,-5105
buffer_20,rand-10_s2,rand-10,2,49,46,37,34,86,80,15820,21641,4,-3,-3,-6,5821
buffer_20,rand-10_s3,rand-10,3,48,46,37,37,85,83,16686,18607,2,-2,0,-2,1921
buffer_30,leuven-01_s1,leuven-01,1,38,34,26,30,64,64,37028,36941,6,-4,4,0,-87
buffer_30,leuven-01_s2,leuven-01,2,37,35,19,25,56,60,44907,41013,6,-2,6,4,-3894
buffer_30,leuven-01_s3,leuven-01,3,34,32,18,16,52,48,48874,52818,6,-2,-2,-4,3944
buffer_30,leuven-02_s1,leuven-02,1,40,43,30,28,70,71,31058,30016,5,3,-2,1,-1042
buffer_30,leuven-02_s2,leuven-02,2,41,42,24,28,65,70,36071,31173,4,1,4,5,-4898
buffer_30,leuven-02_s3,leuven-02,3,42,37,27,24,69,61,32197,39923,9,-5,-3,-8,7726
buffer_30,leuven-03_s1,leuven-03,1,47,47,34,34,81,81,20403,20497,3,0,0,0,94
buffer_30,leuven-03_s2,leuven-03,2,49,47,28,30,77,77,24556,24546,3,-2,2,0,-10
buffer_30,leuven-03_s3,leuven-03,3,49,48,33,38,82,86,19530,15707,2,-1,5,4,-3823
buffer_30,leuven-04_s1,leuven-04,1,27,29,12,16,39,45,61500,55545,7,2,4,6,-5955
buffer_30,leuven-04_s2,leuven-04,2,30,29,12,14,42,43,58574,57532,6,-1,2,1,-1042
buffer_30,leuven-04_s3,leuven-04,3,26,20,13,21,39,41,61572,59586,10,-6,8,2,-1986
buffer_30,leuven-05_s1,leuven-05,1,28,27,19,22,47,49,53682,51725,7,-1,3,2,-1957
buffer_30,leuven-05_s2,leuven-05,2,32,33,12,22,44,55,56710,45964,5,1,10,11,-10746
buffer_30,leuven-05_s3,leuven-05,3,26,23,13,13,39,36,61657,64554,9,-3,0,-3,2897
buffer_30,leuven-06_s1,leuven-06,1,23,23,22,22,45,45,55669,55669,0,0,0,0,0
buffer_30,leuven-06_s2,leuven-06,2,24,20,21,23,45,43,55751,57757,9,-4,2,-2,2006
buffer_30,leuven-06_s3,leuven-06,3,26,22,29,27,55,49,45915,51767,4,-4,-2,-6,5852
buffer_30,leuven-07_s1,leuven-07,1,44,42,8,8,52,50,48823,50691,8,-2,0,-2,1868
buffer_30,leuven-07_s2,leuven-07,2,48,49,13,15,61,64,40031,37090,8,1,2,3,-2941
buffer_30,leuven-07_s3,leuven-07,3,46,45,10,15,56,60,45038,40986,12,-1,5,4,-4052
buffer_30,leuven-08_s1,leuven-08,1,60,58,36,41,96,99,105578,102616,18,-2,5,3,-2962
buffer_30,leuven-08_s2,leuven-08,2,57,55,40,40,97,95,104580,106549,8,-2,0,-2,1969
buffer_30,leuven-08_s3,leuven-08,3,62,55,29,37,91,92,110394,109369,13,-7,8,1,-1025
buffer_30,leuven-09_s1,leuven-09,1,37,34,15,16,52,50,48845,50836,6,-3,1,-2,1991
buffer_30,leuven-09_s2,leuven-09,2,36,32,19,23,55,55,46009,45948,11,-4,4,0,-61
buffer_30,leuven-09_s3,leuven-09,3,34,32,20,17,54,49,47047,51849,3,-2,-3,-5,4802
buffer_30,leuven-10_s1,leuven-10,1,36,34,14,13,50,47,50772,53715,4,-2,-1,-3,2943
buffer_30,leuven-10_s2,leuven-10,2,38,32,23,27,61,59,40116,42003,12,-6,4,-2,1887
buffer_30,leuven-10_s3,leuven-10,3,39,34,16,20,55,54,45882,46947,13,-5,4,-1,1065
buffer_30,rand-01_s1,rand-01,1,27,24,23,18,50,42,30723,38600,8,-3,-5,-8,7877
buffer_30,rand-01_s2,rand-01,2,28,27,22,21,50,48,30827,32751,5,-1,-1,-2,1924
buffer_30,rand-01_s3,rand-01,3,36,35,23,23,59,58,21771,22755,2,-1,0,-1,984
buffer_30,rand-02_s1,rand-02,1,42,37,23,27,65,64,36275,37156,4,-5,4,-1,881
buffer_30,rand-02_s2,rand-02,2,40,27,21,24,61,51,40119,49834,18,-13,3,-10,9715
buffer_30,rand-02_s3,rand-02,3,38,40,19,29,57,69,43969,32079,3,2,10,12,-11890
buffer_30,rand-03_s1,rand-03,1,48,51,36,48,84,99,38538,23868,6,3,12,15,-14670
buffer_30,rand-03_s2,rand-03,2,43,44,26,26,69,70,52818,51933,6,1,0,1,-885
buffer_30,rand-03_s3,rand-03,3,49,52,26,35,75,87,47157,35441,2,3,9,12,-11716
buffer_30,rand-04_s1,rand-04,1,21,18,14,16,35,34,26016,27002,4,-3,2,-1,986
buffer_30,rand-04_s2,rand-04,2,23,21,16,15,39,36,21993,24954,2,-2,-1,-3,2961
buffer_30,rand-04_s3,rand-04,3,24,23,14,13,38,36,22903,24888,6,-1,-1,-2,1985
buffer_30,rand-05_s1,rand-05,1,39,32,24,23,63,55,38235,46082,8,-7,-1,-8,7847
buffer_30,rand-05_s2,rand-05,2,39,33,18,18,57,51,44072,49957,11,-6,0,-6,5885
buffer_30,rand-05_s3,rand-05,3,35,39,17,27,52,66,48906,35102,4,4,10,14,-13804
buffer_30,rand-06_s1,rand-06,1,38,39,28,30,66,69,15140,12198,1,1,2,3,-2942
buffer_30,rand-06_s2,rand-06,2,40,36,34,33,74,69,7375,12110,4,-4,-1,-5,4735
buffer_30,rand-06_s3,rand-06,3,40,39,33,34,73,73,8137,8123,1,-1,1,0,-14
buffer_30,rand-07_s1,rand-07,1,49,47,28,34,77,81,24749,20634,3,-2,6,4,-4115
buffer_30,rand-07_s2,rand-07,2,50,45,38,33,88,78,13824,23593,5,-5,-5,-10,9769
buffer_30,rand-07_s3,rand-07,3,49,47,34,33,83,80,18722,21589,2,-2,-1,-3,2867
buffer_30,rand-08_s1,rand-08,1,60,60,55,55,115,115,8616,8538,0,0,0,0,-78
buffer_30,rand-08_s2,rand-08,2,60,60,53,54,113,114,10736,9695,0,0,1,1,-1041
buffer_30,rand-08_s3,rand-08,3,60,59,49,47,109,106,14468,17321,1,-1,-2,-3,2853
buffer_30,rand-09_s1,rand-09,1,27,22,22,20,49,42,12410,19168,8,-5,-2,-7,6758
buffer_30,rand-09_s2,rand-09,2,26,26,17,17,43,43,18187,18187,0,0,0,0,0
buffer_30,rand-09_s3,rand-09,3,26,27,18,22,44,49,17208,12234,1,1,4,5,-4974
buffer_30,rand-10_s1,rand-10,1,48,48,30,35,78,83,23828,18778,2,0,5,5,-5050
buffer_30,rand-10_s2,rand-10,2,49,45,37,34,86,79,15820,22659,5,-4,-3,-7,6839
buffer_30,rand-10_s3,rand-10,3,48,46,37,38,85,84,16686,17579,2,-2,1,-1,893
two_pool,leuven-01_s1,leuven-01,1,38,27,26,25,64,52,37028,48828,17,-11,-1,-12,11800
two_pool,leuven-01_s2,leuven-01,2,37,30,19,21,56,51,44907,49784,13,-7,2,-5,4877
two_pool,leuven-01_s3,leuven-01,3,34,35,18,27,52,62,48874,39060,10,1,9,10,-9814
two_pool,leuven-02_s1,leuven-02,1,40,40,30,28,70,68,31058,33073,8,0,-2,-2,2015
two_pool,leuven-02_s2,leuven-02,2,41,38,24,25,65,63,36071,37992,9,-3,1,-2,1921
two_pool,leuven-02_s3,leuven-02,3,42,40,27,26,69,66,32197,35122,6,-2,-1,-3,2925
two_pool,leuven-03_s1,leuven-03,1,47,33,34,37,81,70,20403,31291,17,-14,3,-11,10888
two_pool,leuven-03_s2,leuven-03,2,49,39,28,28,77,67,24556,34345,11,-10,0,-10,9789
two_pool,leuven-03_s3,leuven-03,3,49,45,33,31,82,76,19530,25479,5,-4,-2,-6,5949
two_pool,leuven-04_s1,leuven-04,1,27,29,12,16,39,45,61500,55608,10,2,4,6,-5892
two_pool,leuven-04_s2,leuven-04,2,30,23,12,17,42,40,58574,60530,12,-7,5,-2,1956
two_pool,leuven-04_s3,leuven-04,3,26,29,13,17,39,46,61572,54642,10,3,4,7,-6930
two_pool,leuven-05_s1,leuven-05,1,28,32,19,22,47,54,53682,46803,10,4,3,7,-6879
two_pool,leuven-05_s2,leuven-05,2,32,28,12,19,44,47,56710,53783,11,-4,7,3,-2927
two_pool,leuven-05_s3,leuven-05,3,26,28,13,13,39,41,61657,59745,9,2,0,2,-1912
two_pool,leuven-06_s1,leuven-06,1,23,12,22,39,45,51,55669,49759,18,-11,17,6,-5910
two_pool,leuven-06_s2,leuven-06,2,24,18,21,33,45,51,55751,49917,9,-6,12,6,-5834
two_pool,leuven-06_s3,leuven-06,3,26,17,29,29,55,46,45915,54639,13,-9,0,-9,8724
two_pool,leuven-07_s1,leuven-07,1,44,44,8,13,52,57,48823,43934,10,0,5,5,-4889
two_pool,leuven-07_s2,leuven-07,2,48,45,13,14,61,59,40031,41925,12,-3,1,-2,1894
two_pool,leuven-07_s3,leuven-07,3,46,46,10,10,56,56,45038,44985,6,0,0,0,-53
two_pool,leuven-08_s1,leuven-08,1,60,54,36,48,96,102,105578,99701,34,-6,12,6,-5877
two_pool,leuven-08_s2,leuven-08,2,57,49,40,41,97,90,104580,111383,22,-8,1,-7,6803
two_pool,leuven-08_s3,leuven-08,3,62,59,29,39,91,98,110394,103445,20,-3,10,7,-6949
two_pool,leuven-09_s1,leuven-09,1,37,28,15,24,52,52,48845,48788,9,-9,9,0,-57
two_pool,leuven-09_s2,leuven-09,2,36,33,19,19,55,52,46009,48849,13,-3,0,-3,2840
two_pool,leuven-09_s3,leuven-09,3,34,32,20,20,54,52,47047,48837,9,-2,0,-2,1790
two_pool,leuven-10_s1,leuven-10,1,36,27,14,20,50,47,50772,53723,14,-9,6,-3,2951
two_pool,leuven-10_s2,leuven-10,2,38,33,23,24,61,57,40116,43944,16,-5,1,-4,3828
two_pool,leuven-10_s3,leuven-10,3,39,26,16,19,55,45,45882,55672,24,-13,3,-10,9790
two_pool,rand-01_s1,rand-01,1,27,28,23,25,50,53,30723,27808,6,1,2,3,-2915
two_pool,rand-01_s2,rand-01,2,28,30,22,27,50,57,30827,23901,4,2,5,7,-6926
two_pool,rand-01_s3,rand-01,3,36,27,23,26,59,53,21771,27684,9,-9,3,-6,5913
two_pool,rand-02_s1,rand-02,1,42,38,23,27,65,65,36275,36213,3,-4,4,0,-62
two_pool,rand-02_s2,rand-02,2,40,38,21,21,61,59,40119,42124,5,-2,0,-2,2005
two_pool,rand-02_s3,rand-02,3,38,38,19,27,57,65,43969,35997,5,0,8,8,-7972
two_pool,rand-03_s1,rand-03,1,48,50,36,47,84,97,38538,25849,8,2,11,13,-12689
two_pool,rand-03_s2,rand-03,2,43,50,26,27,69,77,52818,45395,3,7,1,8,-7423
two_pool,rand-03_s3,rand-03,3,49,50,26,36,75,86,47157,36487,3,1,10,11,-10670
two_pool,rand-04_s1,rand-04,1,21,21,14,16,35,37,26016,24039,2,0,2,2,-1977
two_pool,rand-04_s2,rand-04,2,23,22,16,14,39,36,21993,24940,1,-1,-2,-3,2947
two_pool,rand-04_s3,rand-04,3,24,23,14,14,38,37,22903,23886,1,-1,0,-1,983
two_pool,rand-05_s1,rand-05,1,39,37,24,26,63,63,38235,38225,2,-2,2,0,-10
two_pool,rand-05_s2,rand-05,2,39,41,18,19,57,60,44072,41154,3,2,1,3,-2918
two_pool,rand-05_s3,rand-05,3,35,38,17,32,52,70,48906,31268,4,3,15,18,-17638
two_pool,rand-06_s1,rand-06,1,38,35,28,28,66,63,15140,18101,3,-3,0,-3,2961
two_pool,rand-06_s2,rand-06,2,40,38,34,35,74,73,7375,8296,2,-2,1,-1,921
two_pool,rand-06_s3,rand-06,3,40,38,33,34,73,72,8137,9106,2,-2,1,-1,969
two_pool,rand-07_s1,rand-07,1,49,43,28,33,77,76,24749,25579,7,-6,5,-1,830
two_pool,rand-07_s2,rand-07,2,50,43,38,33,88,76,13824,25447,7,-7,-5,-12,11623
two_pool,rand-07_s3,rand-07,3,49,42,34,44,83,86,18722,15628,8,-7,10,3,-3094
two_pool,rand-08_s1,rand-08,1,60,58,55,57,115,115,8616,8598,2,-2,2,0,-18
two_pool,rand-08_s2,rand-08,2,60,59,53,52,113,111,10736,12622,1,-1,-1,-2,1886
two_pool,rand-08_s3,rand-08,3,60,58,49,49,109,107,14468,16432,2,-2,0,-2,1964
two_pool,rand-09_s1,rand-09,1,27,24,22,22,49,46,12410,15305,3,-3,0,-3,2895
two_pool,rand-09_s2,rand-09,2,26,26,17,17,43,43,18187,18187,0,0,0,0,0
two_pool,rand-09_s3,rand-09,3,26,26,18,22,44,48,17208,13217,2,0,4,4,-3991
two_pool,rand-10_s1,rand-10,1,48,47,30,36,78,83,23828,18777,3,-1,6,5,-5051
two_pool,rand-10_s2,rand-10,2,49,44,37,36,86,80,15820,21671,6,-5,-1,-6,5851
two_pool,rand-10_s3,rand-10,3,48,44,37,37,85,81,16686,20611,4,-4,0,-4,3925
